Dataset,Precision,Recall,Accuracy,F1,Runtime,knc__algorithm,knc__leaf_size,knc__metric,knc__metric_params,knc__n_neighbors,knc__p,knc__weights
fc_valid_lb_mm_0-100,0.9269854158208676,0.9252245125866642,0.9269854158208676,0.8947889478894788,696.6361117362976,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9300165475038247,0.9335407765186698,0.9300165475038247,0.8996755063220321,690.014096736908,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1000,0.9219562467794069,0.9160184452000559,0.9219562467794069,0.8872546808030679,685.8834352493286,auto,30,minkowski,None,5,2,uniform
fc_valid_lb_mm_0-1000,0.9206259956892512,0.9122701096043099,0.9206259956892512,0.8854579877389108,699.2177827358246,auto,30,minkowski,None,5,2,uniform
fc_valid_lb_mm_0-1000,0.9218654887699199,0.9147679717288199,0.9218654887699199,0.8871302308802309,692.236141204834,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9179185885707905,0.9548469684627022,0.9179185885707905,0.9115316249444527,2315.7049248218536,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9179405219154658,0.9535989442838013,0.9179405219154658,0.911431380186597,2333.339858531952,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9167217959842946,0.952187833511206,0.9167217959842946,0.9101126721379886,2365.147083759308,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9147453958218802,0.9434427343128312,0.9147453958218802,0.9073667901776131,2338.007722377777,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9131114854412321,0.9409645554909936,0.9131114854412321,0.9057553554449354,2375.2939331531525,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9134073896023625,0.9432849716812786,0.9134073896023625,0.9060372050563107,2336.279366493225,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1,0.9120005494599839,0.9573651673417182,0.9120005494599839,0.9060081429043025,2340.4318149089813,auto,30,minkowski,None,15,2,uniform
lr_valid_lb_mm_0-1,0.911123710366037,0.9553597366127626,0.911123710366037,0.905087793332477,2443.0625212192535,auto,30,minkowski,None,15,2,uniform
lr_valid_lb_mm_0-1,0.9106259872261521,0.9400438656081986,0.9106259872261521,0.9029503612211606,2287.2026932239532,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9117919909292378,0.9446104879090168,0.9117919909292378,0.904574726101865,2371.3045909404755,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.913467649130039,0.9462332221273955,0.913467649130039,0.9063951543978299,2288.1518535614014,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9111624551217082,0.940032980890484,0.9111624551217082,0.9035626707443287,2353.6468918323517,auto,30,minkowski,None,10,2,uniform
lr_valid_lb_mm_0-100,0.9184213465288695,0.9550740367470346,0.9184213465288695,0.9121163884055824,2331.4039130210876,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.919085621998677,0.9540261048065378,0.919085621998677,0.9127442170694878,2355.146506547928,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9159477023187137,0.9510221465076661,0.9159477023187137,0.9093786733059985,2331.529965400696,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9166273088713902,0.9512956179622847,0.9166273088713902,0.9099993511128416,2516.3739948272705,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9165736367539716,0.9529707760789626,0.9165736367539716,0.9102084199824391,2376.368611574173,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9162049088081923,0.9546300965977422,0.9162049088081923,0.9098387931671967,2304.0365557670593,auto,30,minkowski,None,5,2,uniform
fc_valid_lb_none,0.9241615139591531,0.9182275649986021,0.9241615139591531,0.8902893542047843,654.755649805069,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_none,0.9259062665875667,0.9232661776993779,0.9259062665875667,0.8934058036115353,759.6572182178497,auto,30,minkowski,None,15,2,uniform
fc_valid_lb_none,0.9241573033707865,0.9238024438972262,0.9241573033707865,0.891094877425716,625.0117814540863,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9323828411699486,0.9476851851851852,0.9323828411699486,0.904351667771151,920.0897135734558,auto,30,minkowski,None,15,2,uniform
