Dataset,Precision,Recall,Accuracy,F1,Runtime,lgr__C,lgr__class_weight,lgr__dual,lgr__fit_intercept,lgr__intercept_scaling,lgr__l1_ratio,lgr__max_iter,lgr__multi_class,lgr__penalty,lgr__random_state,lgr__solver,lgr__tol,lgr__verbose,lgr__warm_start
lr_valid_lb_mm_0-1000,0.9053015008462126,0.925419984886357,0.9053015008462126,0.8965394253963188,27496.2370326519,0.001,None,False,True,1,None,50,auto,none,42,newton-cg,0.01,0,True
lr_valid_lb_mm_0-1000,0.9063403915644553,0.9230114186181537,0.9063403915644553,0.8973432678557989,27529.764036417007,0.001,None,False,True,1,None,100,multinomial,none,42,lbfgs,0.01,0,True
lr_valid_lb_mm_0-1000,0.9059185532807316,0.925125082418648,0.9059185532807316,0.8970814998683667,27116.631018400192,0.001,None,False,True,1,None,100,multinomial,none,42,lbfgs,0.01,0,True
lr_valid_lb_mm_0-1000,0.9048609261280149,0.9229588764350511,0.9048609261280149,0.895643650210183,26864.11636352539,0.001,None,False,True,1,None,50,auto,none,42,newton-cg,0.01,0,True
fc_valid_lb_none,0.9257651467832605,0.9101071262226362,0.9257651467832605,0.8915453757357303,10208.949478626251,0.01,None,False,True,1,None,50,auto,l2,42,liblinear,0.01,0,True
fc_valid_lb_std,0.9248525142803633,0.9078185104509431,0.9248525142803633,0.8905457934577526,7698.792307853699,0.01,None,False,True,1,None,50,multinomial,l2,42,lbfgs,0.01,0,True
fc_valid_lb_mm_0-1,0.9271259485962338,0.9128937694849006,0.9271259485962338,0.8937023118095889,6244.327255249023,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
fc_valid_lb_mm_0-10,0.9249598026819026,0.9066344769952179,0.9249598026819026,0.8904087727697604,5296.44352555275,0.001,None,False,True,1,None,50,multinomial,none,42,sag,0.01,0,True
fc_valid_lb_mm_0-100,0.9267653118561529,0.9203695965083345,0.9267653118561529,0.8941717791411044,9563.675743818283,0.001,None,False,True,1,None,50,multinomial,l2,42,sag,0.01,0,True
fc_valid_lb_mm_0-1000,0.9255962142154336,0.9134861233787365,0.9255962142154336,0.8918845315904139,14264.10706114769,0.001,None,False,True,1,None,75,auto,none,42,newton-cg,0.01,0,True
