Dataset,Precision,Recall,Accuracy,F1,Runtime,dtc__ccp_alpha,dtc__class_weight,dtc__criterion,dtc__max_depth,dtc__max_features,dtc__max_leaf_nodes,dtc__min_impurity_decrease,dtc__min_samples_leaf,dtc__min_samples_split,dtc__min_weight_fraction_leaf,dtc__random_state,dtc__splitter
lr_valid_lb_std,0.9242166563595136,0.9229518981463566,0.9242166563595136,0.9153449814340404,51.16630840301514,0.0,None,entropy,35,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_std,0.925092314297982,0.9197406618927811,0.925092314297982,0.9159382860006361,50.12059569358826,0.0,None,entropy,35,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_std,0.9238798283261802,0.9318318143998762,0.9238798283261802,0.9156905993306967,50.09960627555847,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_std,0.9231145557071865,0.9337112783700636,0.9231145557071865,0.9150675060679611,50.70658564567566,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-1,0.9194403167758948,0.9252531498801886,0.9194403167758948,0.9107942818554484,48.37753748893738,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-1,0.9197159881175198,0.9275753050022305,0.9197159881175198,0.9109403125803596,48.293816804885864,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-1,0.9207984601371441,0.929161267864395,0.9207984601371441,0.9124766164335432,48.53355312347412,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-1,0.9204709522172568,0.9264643092807515,0.9204709522172568,0.9116377664044001,48.21388554573059,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-1,0.9193298969072164,0.9263113022922359,0.9193298969072164,0.910573131940344,48.3713116645813,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-10,0.9194439432602177,0.922069112545303,0.9194439432602177,0.9103015459972448,49.85733962059021,0.0,None,gini,25,None,None,0.0,1,2,0.0,42,best
lr_valid_lb_mm_0-10,0.9209095827357899,0.929328142854376,0.9209095827357899,0.9124341592348209,50.56259202957153,0.0,None,entropy,25,None,None,0.0,1,2,0.0,42,best
